image_path,style_true_index,style_true_name,style_pred_index,style_pred_name,style_confidence,style_correct,genre_true_index,genre_true_name,genre_pred_index,genre_pred_name,genre_confidence,genre_correct,artist_true_index,artist_true_name,artist_pred_index,artist_pred_name,artist_confidence,artist_correct,mean_confidence,all_correct,incorrect_tasks
Cubism/paul-cezanne_still-life-with-green-melon.jpg,7,Cubism,20,Post_Impressionism,0.911020,0,9,still_life,9,still_life,0.998702,1,16,Paul_Cezanne,16,Paul_Cezanne,0.999800,1,0.969841,0,style
Impressionism/paul-cezanne_madame-cezanne-leaning-on-a-table.jpg,12,Impressionism,20,Post_Impressionism,0.916920,0,6,portrait,6,portrait,0.997767,1,16,Paul_Cezanne,16,Paul_Cezanne,0.991718,1,0.968802,0,style
Naive_Art_Primitivism/boris-kustodiev_easter-procession-1915-1.jpg,15,Naive_Art_Primitivism,3,Art_Nouveau,0.987508,0,2,genre_painting,2,genre_painting,0.922086,1,1,Boris_Kustodiev,1,Boris_Kustodiev,0.996324,1,0.968639,0,style
Realism/martiros-saryan_in-the-mountains-1962.jpg,21,Realism,9,Expressionism,0.989275,0,8,sketch_and_study,8,sketch_and_study,0.914688,1,13,Martiros_Saryan,13,Martiros_Saryan,0.999177,1,0.967713,0,style
Impressionism/camille-pissarro_young-peasant-girl-wearing-a-hat-1881.jpg,12,Impressionism,18,Pointillism,0.973975,0,6,portrait,6,portrait,0.929214,1,2,Camille_Pissarro,2,Camille_Pissarro,0.998611,1,0.967267,0,style
Realism/eugene-boudin_the-beach-at-trouville-1864.jpg,21,Realism,12,Impressionism,0.919052,0,2,genre_painting,2,genre_painting,0.982713,1,6,Eugene_Boudin,6,Eugene_Boudin,0.999992,1,0.967252,0,style
Realism/martiros-saryan_arzni-1942-1.jpg,21,Realism,9,Expressionism,0.914789,0,8,sketch_and_study,8,sketch_and_study,0.978893,1,13,Martiros_Saryan,13,Martiros_Saryan,0.998445,1,0.964042,0,style
Impressionism/camille-pissarro_field-of-oats-in-eragny-1885.jpg,12,Impressionism,18,Pointillism,0.956488,0,4,landscape,4,landscape,0.940248,1,2,Camille_Pissarro,2,Camille_Pissarro,0.995292,1,0.964009,0,style
Impressionism/camille-pissarro_the-garden-at-eragny.jpg,12,Impressionism,18,Pointillism,0.988165,0,4,landscape,4,landscape,0.900664,1,2,Camille_Pissarro,2,Camille_Pissarro,0.999857,1,0.962895,0,style
Post_Impressionism/vincent-van-gogh_two-heads-man-with-beard-and-hat-peasant-with-cap.jpg,20,Post_Impressionism,21,Realism,0.960657,0,8,sketch_and_study,8,sketch_and_study,0.922384,1,22,Vincent_van_Gogh,22,Vincent_van_Gogh,0.999030,1,0.960690,0,style
