image_path,style_true_index,style_true_name,style_pred_index,style_pred_name,style_confidence,style_correct,genre_true_index,genre_true_name,genre_pred_index,genre_pred_name,genre_confidence,genre_correct,artist_true_index,artist_true_name,artist_pred_index,artist_pred_name,artist_confidence,artist_correct,mean_confidence,all_correct,incorrect_tasks
Impressionism/pierre-auguste-renoir_woman-combing-her-hair-1908.jpg,12,Impressionism,12,Impressionism,0.999333,1,2,genre_painting,5,nude_painting,0.999977,0,17,Pierre_Auguste_Renoir,17,Pierre_Auguste_Renoir,0.999769,1,0.999693,0,genre
Impressionism/pierre-auguste-renoir_study-for-scene-from-tannhauser.jpg,12,Impressionism,12,Impressionism,0.999439,1,8,sketch_and_study,5,nude_painting,0.999685,0,17,Pierre_Auguste_Renoir,17,Pierre_Auguste_Renoir,0.999823,1,0.999649,0,genre
Naive_Art_Primitivism/marc-chagall_under-the-snow-1964.jpg,15,Naive_Art_Primitivism,15,Naive_Art_Primitivism,0.999979,1,2,genre_painting,7,religious_painting,0.997688,0,12,Marc_Chagall,12,Marc_Chagall,0.999996,1,0.999221,0,genre
Impressionism/pierre-auguste-renoir_young-shepherd-in-repose-alexander-thurneysson-1911.jpg,12,Impressionism,12,Impressionism,0.997941,1,6,portrait,5,nude_painting,0.999323,0,17,Pierre_Auguste_Renoir,17,Pierre_Auguste_Renoir,0.999732,1,0.998999,0,genre
Romanticism/gustave-dore_the-transfiguration.jpg,23,Romanticism,23,Romanticism,0.999869,1,7,religious_painting,3,illustration,0.996782,0,7,Gustave_Dore,7,Gustave_Dore,0.999949,1,0.998866,0,genre
Cubism/pablo-picasso_leeks-fish-head-skull-and-pitcher-1945.jpg,7,Cubism,7,Cubism,0.998467,1,9,still_life,5,nude_painting,0.997884,0,15,Pablo_Picasso,15,Pablo_Picasso,0.999114,1,0.998488,0,genre
Impressionism/pierre-auguste-renoir_woman-with-a-straw-hat-1880.jpg,12,Impressionism,12,Impressionism,0.999777,1,6,portrait,5,nude_painting,0.992924,0,17,Pierre_Auguste_Renoir,17,Pierre_Auguste_Renoir,0.999967,1,0.997556,0,genre
Impressionism/pierre-auguste-renoir_seated-woman-in-a-green-robe.jpg,12,Impressionism,12,Impressionism,0.999673,1,6,portrait,5,nude_painting,0.999366,0,17,Pierre_Auguste_Renoir,17,Pierre_Auguste_Renoir,0.993308,1,0.997449,0,genre
Naive_Art_Primitivism/marc-chagall_youthfulness-1985.jpg,15,Naive_Art_Primitivism,15,Naive_Art_Primitivism,0.999997,1,2,genre_painting,7,religious_painting,0.990640,0,12,Marc_Chagall,12,Marc_Chagall,1.000000,1,0.996879,0,genre
Cubism/pablo-picasso_head-of-a-man-1908.jpg,7,Cubism,7,Cubism,0.994362,1,6,portrait,5,nude_painting,0.997187,0,15,Pablo_Picasso,15,Pablo_Picasso,0.998506,1,0.996685,0,genre
Impressionism/edgar-degas_woman-at-her-toilette.jpg,12,Impressionism,12,Impressionism,0.999568,1,2,genre_painting,5,nude_painting,0.992789,0,5,Edgar_Degas,5,Edgar_Degas,0.997507,1,0.996621,0,genre
Cubism/pyotr-konchalovsky_abramtsevo-the-boys-at-the-river-drawing-for-the-painting-boys-bathing-1920.jpg,7,Cubism,9,Expressionism,0.999464,0,8,sketch_and_study,8,sketch_and_study,0.987529,1,18,Pyotr_Konchalovsky,13,Martiros_Saryan,0.996696,0,0.994563,0,"style,artist"
Expressionism/martiros-saryan_shirak-1925.jpg,9,Expressionism,9,Expressionism,0.999182,1,4,landscape,8,sketch_and_study,0.984076,0,13,Martiros_Saryan,13,Martiros_Saryan,0.999788,1,0.994348,0,genre
Cubism/pyotr-konchalovsky_abramtsevo-the-trees-1920.jpg,7,Cubism,9,Expressionism,0.998597,0,8,sketch_and_study,8,sketch_and_study,0.988534,1,18,Pyotr_Konchalovsky,13,Martiros_Saryan,0.994927,0,0.994019,0,"style,artist"
